               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07593,            0.026344,                   0,             0.96376,             0.80745,             0.85214,             0.35133,            0.036183,            0.014273,                   0,           0.0033275,           0.0033275,            0.070053
                   1,             0.04297,            0.016026,                   0,             0.95845,             0.85043,             0.87997,             0.58953,            0.026448,           0.0089674,                   0,           0.0066239,           0.0066239,            0.040016
                   2,            0.035391,            0.012162,                   0,             0.98265,             0.85686,             0.89409,              0.7108,            0.020357,            0.007513,                   0,            0.009774,            0.009774,           0.0098324
                   3,            0.030253,            0.010395,                   0,             0.98009,             0.86306,             0.90506,             0.75192,            0.016628,           0.0067251,                   0,           0.0095095,           0.0095095,           0.0095095
                   4,            0.026956,            0.009322,                   0,             0.97979,              0.8701,             0.90325,             0.74777,            0.017035,           0.0063155,                   0,           0.0095095,           0.0095095,           0.0095095
                   5,            0.025006,           0.0087564,                   0,             0.97901,              0.8681,             0.90883,             0.79126,            0.014232,           0.0059436,                   0,           0.0091406,           0.0091406,           0.0091406
                   6,            0.023605,           0.0082821,                   0,             0.98213,             0.87678,             0.91391,             0.79524,            0.014097,           0.0058833,                   0,            0.008682,            0.008682,            0.008682
                   7,            0.022395,           0.0079497,                   0,             0.97828,             0.87834,             0.91327,              0.8087,            0.013719,           0.0057022,                   0,            0.008145,            0.008145,            0.008145
                   8,             0.02175,           0.0076972,                   0,              0.9857,             0.87569,             0.91145,              0.8069,            0.013013,           0.0054263,                   0,            0.007543,            0.007543,            0.007543
                   9,            0.020979,           0.0074195,                   0,             0.98943,             0.87145,             0.91392,             0.81581,             0.01257,           0.0053426,                   0,           0.0068906,           0.0068906,           0.0068906
                  10,            0.020482,           0.0073244,                   0,             0.98505,             0.88212,             0.91648,             0.81635,            0.012468,           0.0052209,                   0,            0.006204,            0.006204,            0.006204
                  11,            0.019872,           0.0070362,                   0,              0.9834,              0.8799,             0.91267,             0.81739,            0.012299,           0.0053236,                   0,              0.0055,              0.0055,              0.0055
                  12,            0.019588,           0.0069831,                   0,             0.98246,             0.88098,             0.91507,             0.81848,            0.012172,            0.005094,                   0,            0.004796,            0.004796,            0.004796
                  13,            0.019131,           0.0067739,                   0,             0.98245,             0.88048,             0.91682,             0.82305,            0.011742,           0.0050315,                   0,           0.0041094,           0.0041094,           0.0041094
                  14,            0.018936,           0.0066889,                   0,             0.97486,             0.88519,             0.91681,             0.83201,              0.0116,            0.005136,                   0,            0.003457,            0.003457,            0.003457
                  15,            0.018609,           0.0066062,                   0,             0.97992,             0.88677,              0.9174,             0.83416,            0.011595,           0.0050874,                   0,            0.002855,            0.002855,            0.002855
                  16,            0.018315,           0.0064798,                   0,             0.98611,               0.883,             0.92007,             0.83139,            0.011317,           0.0049601,                   0,            0.002318,            0.002318,            0.002318
                  17,            0.018133,           0.0064576,                   0,             0.98829,             0.88035,             0.91767,             0.83206,            0.011481,             0.00499,                   0,           0.0018594,           0.0018594,           0.0018594
                  18,            0.018028,           0.0064004,                   0,             0.97969,              0.8872,             0.91831,             0.83658,            0.011158,           0.0048969,                   0,           0.0014905,           0.0014905,           0.0014905
                  19,            0.017791,           0.0063472,                   0,             0.98542,             0.88456,             0.92003,             0.83904,            0.011039,           0.0048444,                   0,           0.0012202,           0.0012202,           0.0012202
